record_slug,author,claimed_val_bpb,claimed_val_loss,family,metric_mode,status,submission_file,script_file,log_files,required_packages
2026-03-17_LoRA_TTT,sam,1.1929,2.0142,context length and evaluation changes,TTT-enhanced eval metric,exact,submission.json,train_gpt.py,"train_v0.txt, train_v1.txt, train_v2.txt, train_v3.txt",
2026-03-17_NaiveBaseline,Baseline,1.2243657,2.07269931,baseline / simple schedule tuning,final_int8_zlib_roundtrip_exact,exact,submission.json,train_gpt.py,train.log,
2026-03-18_FP16Embed_WD3600,Renier Velazco,1.21972502,2.0594546,baseline / simple schedule tuning,final_int8_zlib_roundtrip_exact,exact,submission.json,train_gpt.py,"train.log, train_seed42.log",
2026-03-18_LongContextSeq2048,Spokane Way,1.20576485,2.03588345,context length and evaluation changes,final_int8_zlib_roundtrip_exact (3-seed support),exact,submission.json,train_gpt.py,"train.log, train_seed1338.log, train_seed1339.log",
2026-03-18_LowerLR,Nan Liu,1.22296644,2.0649276,baseline / simple schedule tuning,final_int8_zlib_roundtrip_exact,exact,submission.json,train_gpt.py,train.log,
2026-03-19_10L_MixedPrecision,Nan Liu,1.214745,2.05104604,quantization / QAT / GPTQ,final mixed-precision post-quant eval,exact,submission.json,train_gpt.py,train.log,
2026-03-19_MLP3x_QAT_Int6_SlidingWindow,aruniyer,1.15015359,,quantization / QAT / GPTQ,3-seed sliding-window post-quant eval,exact,submission.json,train_gpt.py,train.log,zstandard
2026-03-19_MixedQuant_Int6Int8_SlidingWindow,aquariouseworkman,1.16301431,1.96369923,quantization / QAT / GPTQ,sliding-window post-quant eval,exact,submission.json,train_gpt.py,train.log,
2026-03-19_Seq2048_FP16Emb_TunedLR,yahya010,1.15861696,1.95627871,quantization / QAT / GPTQ,3-seed sliding-window post-quant eval,exact,submission.json,train_gpt.py,"train_seed1337.log, train_seed3.log, train_seed42.log",zstandard
2026-03-19_SlidingWindowEval,Matthew Li,1.19250007,2.01348383,context length and evaluation changes,sliding-window post-quant eval,exact,submission.json,train_gpt.py,train.log,
2026-03-19_SlidingWindow_FP16Emb_10L_MuonWD_OvertoneInit,notapplica,,,averaging / optimizer / schedule refinements,3-seed mean sliding-window post-quant eval,exact,submission.json,train_gpt.py,"train_seed1337.log, train_seed42.log, train_seed7.log",
2026-03-19_TrainingOptSeq4096,Spokane Way,1.20143417,2.02857127,context length and evaluation changes,final_int8_zlib_roundtrip_exact (3-seed support),exact,submission.json,train_gpt.py,"train.log, train_seed1338.log, train_seed1339.log",
2026-03-19_WarmdownQuantization,samuellarson,1.1574404,1.95428963,quantization / QAT / GPTQ,sliding-window post-quant eval,exact,submission.json,train_gpt.py,train.log,zstandard
2026-03-19_int6_STE QAT_ MLP_bigram _U_Net,,,,incomplete / orphaned snapshot,unknown / missing metadata,incomplete_repo_snapshot,,,train.log,
2026-03-19_smeargate_orthoinit_muonwd,,1.1556,1.9511,architecture additions,single-run post-quant eval,exact,submission.json,train_gpt_v5.py,train.log,
2026-03-20_10L_Int5MLP_MuonWD04_SWA50,thwu1,,1.14276,averaging / optimizer / schedule refinements,3-seed mean post-quant eval,exact,submission.json,train_gpt.py,"train_seed1337.log, train_seed2024.log, train_seed42.log",zstandard
2026-03-20_11L_EfficientPartialXSA_FA3_SWA120,vadim borisov (tabularis.ai),1.13071416,1.90915845,architecture additions,single-run post-quant eval,exact,submission.json,train_gpt.py,train.log,"flash-attn-3, zstandard"
2026-03-20_11L_XSA4_EMA_Int6_MLP3x_WD04_1.1271,Jack Princz,1.12707468,1.90301335,architecture additions,3-seed sliding-window post-quant eval,exact,submission.json,train_gpt.py,"train.log, train_seed1337.log, train_seed2025.log, train_seed42.log","flash-attn-3, zstandard"
2026-03-20_Int6_MLP3x_SmearGate_BigramHash_MuonWD_SWA,Raahil Shah,1.14581692,1.93465876,architecture additions,3-seed sliding-window post-quant eval,exact,submission.json,train_gpt.py,"train_seed1337.log, train_seed42.log, train_seed7.log",
2026-03-21_11L_XSA4_EMA_PartialRoPE_LateQAT_1.1248,Jack Princz,1.12484502,1.89924867,architecture additions,3-seed sliding-window post-quant eval,exact,submission.json,train_gpt.py,"train.log, train_seed1337.log, train_seed2025.log, train_seed42.log","flash-attn-3, zstandard"
2026-03-22_11L_EMA_GPTQ-lite_warmdown3500_QAT015_1.1233,Tianhao Wu,1.12278022,1.89576235,quantization / QAT / GPTQ,3-seed sliding-window post-quant eval,exact,submission.json,train_gpt.py,"train.log, train_seed1337.log, train_seed2024.log, train_seed42.log","flash-attn-3, zstandard"
2026-03-23_LeakyReLU_LegalTTT_ParallelMuon,abaybektursun,1.1194,,averaging / optimizer / schedule refinements,3-seed mean with legal TTT,exact,submission.json,train_gpt.py,"train_seed1337.log, train_seed2025.log, train_seed42.log",
2026-03-24_74M_Ternary_UNet_FP8_10L_8192BPE_YaRN_NeoMuon,Ciprian-Florin Ifrim,1.1565,2.9869,separate ternary / 8192-BPE branch,ternary branch metric with sliding eval + temp scaling,exact,submission_ternary.json,train_gpt_cuda_ternary.py,"ternary_log_1337.txt, ternary_log_42.txt, ternary_log_7.txt","zstandard, custom ternary setup.sh, 8192-BPE tokenizer assets"
2026-03-25_ValCalib_GPTQ_XSA_BigramHash3072,abaybektursun,1.11473509,1.88217853,quantization / QAT / GPTQ,3-seed exact mean sliding BPB,exact,submission.json,train_gpt.py,"train_seed314.log, train_seed42.log, train_seed999.log",flash-attn-3
